level,gid,name,engtype,iso,country,year,threshold,gcp_model,pop_persons,gdp_scale,pop_scale,gdp_pwt,pop_pwt,gdppc,ln_gdppc,n_cells,n_cells_nearest,pop_nat
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2018,0_05,9.310776484141963,1168897,937.2822479969341,1.0176126781218413e-06,8726.82551365357,1.189484406618586,7336.645579458925,8.900637011626403,197,32,11310000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2019,0_05,9.262361557956487,1136414,959.2319688877213,1.0176311783999035e-06,8884.753313788544,1.156450317970148,7682.779948025308,8.946736733044643,197,32,11470000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2020,0_05,8.508324273577134,1152079,959.2201052405262,1.0160908219120596e-06,8161.355705121183,1.1706168980176237,6971.841700681065,8.849634701373695,197,32,11630000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2021,0_05,9.012311059922345,1168785,981.3925097914595,1.0117195577960315e-06,8844.61457011852,1.1824826433586346,7479.699274906008,8.919947866270753,197,32,11800000
adm1,BOL.7_1,Potosí,Department,BOL,Bolivia,2022,0_05,9.485653431047206,1191460,977.0086582089775,1.0098637098559836e-06,9267.565530902813,1.2032122157450102,7702.353258742874,8.949281179168656,197,32,11960000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2012,0_05,18.860114377455556,2451933,873.4364466698432,1.0160837138483367e-06,16473.111285631603,2.491369188747294,6612.071530801336,8.796652277212909,524,26,10350000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2013,0_05,20.83298221234569,2703040,908.187147797003,1.0164440090829641e-06,18920.24669553593,2.747488814311615,6886.37806166152,8.83730054533378,524,26,10510000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2014,0_05,21.966131422154042,2746927,904.0530959767646,1.0168561415361386e-06,19858.549118830855,2.7932295903014404,7109.5298387869925,8.869191393857932,524,26,10670000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2015,0_05,22.961943785089623,2787474,880.8640786042763,1.0171389032483382e-06,20226.35145521616,2.8352482471932583,7133.8908242829,8.872612062224906,524,26,10830000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2016,0_05,24.134962739687555,2828576,892.9528401744103,1.0173684873859727e-06,21551.38352590757,2.877704086576265,7489.089523290156,8.921202510149097,524,26,10990000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2017,0_05,25.17995644304956,2869951,927.7396236484974,1.0175294096437315e-06,23360.443313960353,2.920259546736437,7999.440782606817,8.987126916044554,524,26,11150000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2018,0_05,26.11492236052315,2910957,937.2822479969341,1.0176126781218413e-06,24477.053136336537,2.9622267486675207,8263.058574886913,9.019550085492096,524,26,11310000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2019,0_05,27.989224342866464,3209297,959.2319688877213,1.0176311783999035e-06,26848.158774047937,3.2658806879452755,8220.802086600237,9.01442306073514,524,26,11470000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2020,0_05,25.71323328709853,3254926,959.2201052405262,1.0160908219120596e-06,24664.650339724853,3.3073004346029324,7457.638284586637,8.916994059238993,524,26,11630000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2021,0_05,27.216705415993548,3302497,981.3925097914595,1.0117195577960315e-06,26710.27083645672,3.3412008044627206,7994.212978992697,8.986473181272222,524,26,11800000
adm1,BOL.8_1,Santa Cruz,Department,BOL,Bolivia,2022,0_05,28.008087749268608,3326818,977.0086582089775,1.0098637098559836e-06,27364.14423091222,3.3596327674956634,8144.980753747676,9.005157158080337,524,26,11960000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2012,0_05,3.1374529806149085,470027,873.4364466698432,1.0160837138483367e-06,2740.365782981994,0.47758677976899216,5737.943132151823,8.654856085748355,65,16,10350000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2013,0_05,3.5512951093624996,486199,908.187147797003,1.0164440090829641e-06,3225.2405763573743,0.4941940607721281,6526.263329264344,8.783589827130545,65,16,10510000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2014,0_05,3.7539380355784977,493544,904.0530959767646,1.0168561415361386e-06,3393.7593031696742,0.501863247518312,6762.318858676422,8.819121136648318,65,16,10670000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2015,0_05,3.9614485336107452,501885,880.8640786042763,1.0171389032483382e-06,3489.4977124972906,0.5104867584567921,6835.628260067089,8.829903663012422,65,16,10830000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2016,0_05,4.117430286369665,508980,892.9528401744103,1.0173684873859727e-06,3676.6710684339273,0.5178202127097123,7100.284960284183,8.867890197475303,65,16,10990000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2017,0_05,4.277430282849583,516330,927.7396236484974,1.0175294096437315e-06,3968.341560793557,0.5253809600813479,7553.264892163421,8.929735184817684,65,16,11150000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2018,0_05,4.440074006652276,523686,937.2822479969341,1.0176126781218413e-06,4161.6025462278,0.5329095129549146,7809.210466430314,8.96305914507696,65,16,11310000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2019,0_05,4.7817379529345745,553808,959.2319688877213,1.0176311783999035e-06,4586.7959112985745,0.5635722876472938,8138.78895721923,9.004396671173833,65,16,11470000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2020,0_05,4.398786701500307,561589,959.2201052405262,1.0160908219120596e-06,4219.4046427437515,0.5706254285867717,7394.35088477157,8.908471593708933,65,16,11630000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2021,0_05,4.6540031584984085,569824,981.3925097914595,1.0117195577960315e-06,4567.403840296132,0.5765020853015659,7922.61460408585,8.977476557107133,65,16,11800000
adm1,BOL.9_1,Tarija,Department,BOL,Bolivia,2022,0_05,4.870686988829396,577994,977.0086582089775,1.0098637098559836e-06,4758.703359512133,0.5836951651144994,8152.720193559684,9.006106916628344,65,16,11960000
